id,title,type,release_year,decade,age_certification,runtime,runtime_is_missing,seasons,imdb_score,imdb_votes,tmdb_score,tmdb_popularity,has_any_rating,primary_genre,genre_count,primary_country,country_count
ts214579,Dino Girl Gauko,SHOW,2019,2010,Not Rated,9,0,2.0,6.9,71.0,9.0,5.127,1,fantasy,5,JP,1
ts270742,Korean Pork Belly Rhapsody,SHOW,2020,2020,Not Rated,48,0,1.0,7.8,67.0,8.5,2.067,1,documentation,1,KR,1
ts228502,The Iliza Shlesinger Sketch Show,SHOW,2020,2020,TV-MA,19,0,1.0,4.9,923.0,8.0,1.96,1,comedy,1,US,1
tm455410,Grand-Daddy Day Care,MOVIE,2019,2010,PG-13,91,0,,4.9,875.0,6.6,6.649,1,comedy,2,FR,1
ts214462,The Queen and the Conqueror,SHOW,2020,2020,TV-14,46,0,1.0,6.5,178.0,10.0,3.778,1,drama,2,CO,1
ts104485,The Stranded,SHOW,2019,2010,TV-MA,49,0,1.0,6.2,1279.0,7.2,14.772,1,drama,2,TH,1
ts214280,You Cannot Hide,SHOW,2019,2010,TV-MA,45,0,1.0,6.4,1121.0,7.1,33.416,1,action,2,MX,1
tm450673,The Last Laugh,MOVIE,2019,2010,Not Rated,98,0,,5.6,5859.0,5.4,9.83,1,comedy,1,US,1
tm855827,Pete Davidson: Alive from New York,MOVIE,2020,2020,Not Rated,49,0,,6.1,4212.0,6.1,4.737,1,comedy,1,US,1
tm1108868,Sin City,MOVIE,2019,2010,Not Rated,101,0,,3.1,32.0,3.7,1.43,1,thriller,2,,0
tm812781,Katherine Ryan: Glitter Room,MOVIE,2019,2010,Not Rated,65,0,,6.7,1956.0,6.8,2.821,1,comedy,1,US,1
ts88133,Well-Intended Love,SHOW,2019,2010,TV-14,45,0,2.0,7.2,1466.0,7.8,14.059,1,drama,2,CN,1
tm857921,The Present,MOVIE,2020,2020,PG-13,24,0,,,,7.0,2.628,1,drama,1,QA,2
tm494531,Seventeen,MOVIE,2019,2010,Not Rated,99,0,,7.2,3940.0,7.3,7.786,1,drama,2,ES,1
ts89361,The Idhun Chronicles,SHOW,2020,2020,TV-14,27,0,2.0,5.3,568.0,7.5,9.044,1,action,4,ES,1
ts268758,Mismatched,SHOW,2020,2020,TV-MA,33,0,1.0,5.5,3712.0,6.8,3.402,1,comedy,3,IN,1
tm912400,Jack Whitehall: I'm Only Joking,MOVIE,2020,2020,Not Rated,58,0,,6.6,1519.0,6.1,3.128,1,comedy,1,GB,1
tm465513,Bulletproof 2,MOVIE,2020,2020,Not Rated,97,0,,3.5,615.0,6.7,12.219,1,action,3,US,1
tm944331,Shawn Mendes: In Wonder,MOVIE,2020,2020,Not Rated,83,0,,6.4,2049.0,8.2,10.122,1,documentation,2,US,1
ts236769,"Coronavirus, Explained",SHOW,2020,2020,TV-PG,23,0,1.0,7.6,2254.0,7.4,5.929,1,documentation,1,US,1
tm823302,Alice Júnior,MOVIE,2019,2010,PG-13,90,0,,6.8,541.0,6.8,2.977,1,romance,4,BR,1
tm496648,School Life,MOVIE,2019,2010,Not Rated,111,0,,6.5,2592.0,7.0,11.031,1,drama,3,FR,1
tm430106,El Pepe: A Supreme Life,MOVIE,2019,2010,Not Rated,74,0,,7.1,1887.0,7.5,4.752,1,documentation,1,RS,3
ts225379,The Good Detective,SHOW,2020,2020,TV-MA,65,0,2.0,,,8.6,7.633,1,drama,2,KR,1
ts224794,Glitch Techs,SHOW,2020,2020,TV-G,26,0,2.0,,,8.3,15.021,1,animation,2,US,1
ts306187,Family Reunion,SHOW,2019,2010,TV-PG,29,0,5.0,6.4,2632.0,8.6,18.784,1,comedy,2,US,1
ts236182,Brews Brothers,SHOW,2020,2020,TV-MA,28,0,1.0,5.1,1966.0,5.2,2.033,1,comedy,2,US,1
ts231260,Last One Standing,SHOW,2019,2010,Not Rated,36,0,1.0,6.8,19.0,,,1,thriller,3,,0
ts188840,Seis Manos,SHOW,2019,2010,TV-MA,27,0,1.0,7.1,1607.0,6.9,9.498,1,crime,5,US,1
ts268648,Anitta: Made in Honório,SHOW,2020,2020,TV-MA,30,0,1.0,6.9,409.0,5.5,2.634,1,documentation,2,BR,1
tm817542,Hikaru Utada Laughter in the Dark Tour 2018,MOVIE,2019,2010,G,141,0,,8.2,92.0,8.0,2.275,1,music,3,JP,1
tm918043,Raat Akeli Hai,MOVIE,2020,2020,Not Rated,149,0,,7.3,17570.0,7.2,4.929,1,crime,3,IN,1
tm454861,Patria,MOVIE,2019,2010,Not Rated,89,0,,7.2,105.0,6.6,2.152,1,documentation,3,MX,1
