person_id,name,role,title_count,avg_imdb_score,avg_tmdb_score
459,Kim Min-jong,ACTOR,1,8.2,8.48
460,Shin Sung-rok,ACTOR,1,8.2,8.48
461,Yukana,ACTOR,4,7.82,8.04
462,Tomokazu Seki,ACTOR,6,7.03,7.93
463,Tim Matheson,ACTOR,2,6.65,7.07
464,Patrick Breen,ACTOR,2,5.4,5.2
467,Alan Blumenfeld,ACTOR,1,5.8,6.1
480,Chris Wallace,ACTOR,1,6.8,6.6
489,Kang Hye-jung,ACTOR,1,6.1,6.2
492,Janeane Garofalo,ACTOR,6,6.32,6.38
493,Courtney Taylor Burness,ACTOR,1,5.9,6.3
496,Geoff Pierson,ACTOR,2,6.1,6.2
497,Jolina Magdangal,ACTOR,1,5.8,
504,Julia Davis,ACTOR,4,7.38,7.29
515,Stephan Kampwirth,ACTOR,1,7.5,7.7
523,April Winchell,ACTOR,1,6.6,6.8
524,Jeff Bennett,ACTOR,7,6.18,7.24
525,Jason Marsden,ACTOR,2,5.9,6.7
526,Charlie Adler,ACTOR,4,5.9,7.05
527,Dan Castellaneta,ACTOR,3,6.5,6.97
528,Jim Cummings,ACTOR,2,5.6,6.5
529,Frank Welker,ACTOR,10,5.84,6.22
531,Brad Garrett,ACTOR,1,5.2,5.5
538,Adam Butcher,ACTOR,1,6.3,6.1
539,Sunnyi Melles,ACTOR,2,6.95,6.0
541,Lars Mikkelsen,ACTOR,4,8.02,7.75
543,Andreas Pietschmann,ACTOR,2,5.8,6.7
544,Nadeshda Brennicke,ACTOR,2,5.15,6.2
545,Veerle Baetens,ACTOR,1,8.0,7.8
564,Cristina do Rego,ACTOR,1,,6.1
568,Hans Martin Stier,ACTOR,1,6.5,7.2
576,Götz Schubert,ACTOR,1,6.9,6.7
582,Rita Feldmeier,ACTOR,1,5.4,5.7
594,Winnie Böwe,ACTOR,1,4.0,5.5
601,Tom Schilling,ACTOR,1,7.5,7.7
602,Wotan Wilke Möhring,ACTOR,4,6.68,6.75
614,Heston Blumenthal,ACTOR,1,8.9,7.5
622,Lucas Gregorowicz,ACTOR,1,6.7,6.7
